date,research_case,market_question,outcome_name,token_id,first_probability,last_probability,mean_probability,min_probability,max_probability,number_of_observations,source_endpoint_type
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,No,39462971141816025897445442908876923818616799932441332016897556514905244921714,0.085,0.0225,0.030811422413793105,0.0135,0.085,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,Yes,16040240860676097446762981384467174178666218757529004749229716486495944018672,0.915,0.9775,0.9691885775862069,0.915,0.9865,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.1T by June 30?,No,77607997105163447779793198139960155869252440130588333332389744782957088786576,0.265,0.175,0.1854956896551724,0.17,0.265,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.1T by June 30?,Yes,94835452031363959809392177065661400624165040433108641981100184485417028920342,0.735,0.825,0.8145150862068965,0.735,0.83,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.25T by June 30?,No,4995240683397483680762423088082410872215233659434563744873539118117258410243,0.795,0.765,0.759353448275862,0.725,0.805,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.25T by June 30?,Yes,99506143662839283755318541040789674787297355758059177490351313831742762128999,0.205,0.235,0.24066810344827586,0.195,0.275,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,No,100317409462201587115435545024885063259966341800944223973701334959322448351156,0.925,0.925,0.925,0.925,0.925,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,Yes,43556707743353571008527228475823431109328558577066165124549907877570594702493,0.075,0.075,0.075,0.075,0.075,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.75T by June 30?,No,31254290044696022935994857038335653280236616469183990491209140666417272010604,0.9795,0.9845,0.9816870967741935,0.9795,0.988,465,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.75T by June 30?,Yes,17128104263548589134560194248716940836854279714315203958781545541014165818204,0.0205,0.0155,0.018312903225806452,0.012,0.0205,465,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $750B by June 30?,No,106964633064663709074008615736117588997729155907705078449227522406523301984868,0.996,0.996,0.996,0.996,0.996,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $750B by June 30?,Yes,13737188042635089024191203502867547519212196840860033541206597148198132014700,0.004,0.004,0.004,0.004,0.004,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $800B by June 30?,No,52118302274224118067505142577351232845480236095136996117404029749453558558038,0.955,0.955,0.955,0.955,0.955,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $800B by June 30?,Yes,84437685081756401651450612542902637387779825805096120981273336438305497386609,0.045,0.045,0.045,0.045,0.045,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $850B by June 30?,No,83041798653560101061707430601436785589636325359029280992969331980876249181245,0.935,0.935,0.935,0.935,0.935,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $850B by June 30?,Yes,43186070120107832349019748782705224538882816636485048751766779961476132151945,0.065,0.065,0.065,0.065,0.065,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $875B by June 30?,No,107136037944699768981297716075344358658633657668763528145017503099290439822893,0.92,0.92,0.92,0.92,0.92,464,prices_history
2026-05-27,anthropic_valuation,Will Anthropic’s valuation hit (LOW) $875B by June 30?,Yes,3015847524067032944034123120815206918161257902805357956057495131423618986926,0.08,0.08,0.08,0.08,0.08,464,prices_history
2026-05-28,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,No,39462971141816025897445442908876923818616799932441332016897556514905244921714,0.023,0.032,0.02547697031729785,0.017,0.033,977,prices_history
2026-05-28,anthropic_valuation,Will Anthropic’s valuation hit (HIGH) $1.0T by June 30?,Yes,16040240860676097446762981384467174178666218757529004749229716486495944018672,0.977,0.968,0.9745220061412487,0.967,0.983,977,prices_history
