date,meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,token_id,last_probability,mean_probability,min_probability,max_probability,number_of_observations,days_to_meeting,source_endpoint_type
2025-03-11,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.002,0.0025142857147577914,0.002,0.0030000000039473685,35,372,trades_fallback
2025-03-11,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.998,0.9979322799097066,0.997,0.998,443,372,trades_fallback
2025-03-12,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.002,0.002230769231119158,0.002,0.003000000003,91,371,trades_fallback
2025-03-12,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.997,0.9978172043010752,0.997,0.998,1116,371,trades_fallback
2025-03-13,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.001,0.0022068965522025015,0.001,0.0030000000054545453,87,370,trades_fallback
2025-03-13,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.999,0.9979674502712478,0.997,0.999,553,370,trades_fallback
2025-03-14,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,No,other,53827210122848802553752764552357021508542175671336446697980210427171312978827,0.999,0.9983646408839779,0.997,0.999,181,369,trades_fallback
2025-03-14,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.001,0.0013015873015873017,0.001,0.002,63,369,trades_fallback
2025-03-14,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,Yes,50_plus_bps_cut,59500043981638253528854819796350757181716737470693576068597643626706510223839,0.002969222289816279,0.0018846602007235203,0.001,0.003000000003,68,369,trades_fallback
2025-03-14,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.999,0.9987048543689321,0.998,0.999,515,369,trades_fallback
2025-03-15,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,No,other,53827210122848802553752764552357021508542175671336446697980210427171312978827,0.999,0.9987201166180758,0.998,0.999,343,368,trades_fallback
2025-03-15,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.002,0.00134,0.001,0.002,50,368,trades_fallback
2025-03-15,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,Yes,50_plus_bps_cut,59500043981638253528854819796350757181716737470693576068597643626706510223839,0.002,0.001595744680851064,0.001,0.002,47,368,trades_fallback
2025-03-15,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.999,0.9987824427480916,0.998,0.999,262,368,trades_fallback
2025-03-16,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 25 bps after March 2025 meeting?,No,other,31361078953599085620148709414894486777711482989707029427747081469972237802868,0.992,0.9882911757529513,0.986,0.992,340,367,trades_fallback
