date,research_case,market_question,outcome_name,token_id,first_probability,last_probability,mean_probability,min_probability,max_probability,number_of_observations,source_endpoint_type
2026-01-23,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.999,0.999,0.999,1,trades_fallback
2026-01-23,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,0.001,113,trades_fallback
2026-01-24,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.999,0.999,0.999,12,trades_fallback
2026-01-24,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,0.001,426,trades_fallback
2026-01-25,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.999,0.9988465116279069,0.998,0.999,215,trades_fallback
2026-01-25,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.001346177179700767,0.001,0.002,214,trades_fallback
2026-01-25,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.999,0.999,0.999,50,trades_fallback
2026-01-25,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,0.001,121,trades_fallback
2026-01-26,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.999,0.9987634933795237,0.997,0.999000000999,1200,trades_fallback
2026-01-26,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.0021725630158892935,0.001,0.029631896197910724,403,trades_fallback
2026-01-26,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.9988083831501648,0.998,0.999000000999,167,trades_fallback
2026-01-26,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.002,0.001525833366525158,0.001,0.003000000003,293,trades_fallback
2026-01-27,fed_january,Fed decreases interest rates by 25 bps after January 2026 meeting?,No,48193521645113703700467246669338225849301704920590102230072263970163239985027,0.996,0.996999999980056,0.9968923075785728,0.996,0.997,65,trades_fallback
2026-01-27,fed_january,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,92703761682322480664976766247614127878023988651992837287050266308961660624165,0.004,0.004,0.003902439024390244,0.003,0.004,164,trades_fallback
2026-01-27,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.999,0.9986376019081472,0.996,0.999000000999,819,trades_fallback
2026-01-27,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.001577863031367675,0.001,0.07818829773412671,561,trades_fallback
2026-01-27,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.9986019575855988,0.997,0.999,572,trades_fallback
2026-01-27,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.002,0.002,0.0017953045389828006,0.001,0.0038756552217114764,730,trades_fallback
2026-01-28,fed_january,Fed decreases interest rates by 25 bps after January 2026 meeting?,No,48193521645113703700467246669338225849301704920590102230072263970163239985027,0.997,0.999,0.997608848621341,0.995,0.999,1880,trades_fallback
2026-01-28,fed_january,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,92703761682322480664976766247614127878023988651992837287050266308961660624165,0.004,0.001,0.003539400636633797,0.001,0.01032,1891,trades_fallback
2026-01-28,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.999,0.999,0.999,0.999,101,trades_fallback
2026-01-28,fed_january,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.001,0.001,0.001,487,trades_fallback
2026-01-28,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.9988099999541076,0.998,0.999,600,trades_fallback
2026-01-28,fed_january,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.002,0.001,0.0013883076724391422,0.001,0.002,915,trades_fallback
2026-01-28,fed_january,No change in Fed interest rates after January 2026 meeting?,No,7321318078891059430231591636389479745928915782241484131001985601124919020061,0.005,0.001,0.004364224490449099,0.001,0.0070000000126,876,trades_fallback
2026-01-28,fed_january,No change in Fed interest rates after January 2026 meeting?,Yes,112838095111461683880944516726938163688341306245473734071798778736646352193304,0.996,0.999,0.9962246479101948,0.993,0.999,3124,trades_fallback
