meeting_month,snapshot_label,realized_outcome_label,probability,realized_outcome_0_1,brier_score,absolute_error,selected_date,selected_datetime_utc,source_endpoint_type
2025-12,T-30,25_bps_cut,,,,,,,
2025-12,T-14,25_bps_cut,,,,,,,
2025-12,T-7,25_bps_cut,,,,,,,
2025-12,T-3,25_bps_cut,,,,,,,
2025-12,T-1,25_bps_cut,,,,,,,
2025-12,final_available,25_bps_cut,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-12-10,2025-12-10T22:17:02Z,trades_fallback
2026-01,T-30,no_change,,,,,,,
2026-01,T-14,no_change,,,,,,,
2026-01,T-7,no_change,,,,,,,
2026-01,T-3,no_change,,,,,,,
2026-01,T-1,no_change,,,,,,,
2026-01,final_available,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2026-01-28,2026-01-28T22:50:54Z,trades_fallback
2026-03,T-30,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-03-19,2025-03-19T21:26:57Z,trades_fallback
2026-03,T-14,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-03-19,2025-03-19T21:26:57Z,trades_fallback
2026-03,T-7,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-03-19,2025-03-19T21:26:57Z,trades_fallback
2026-03,T-3,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-03-19,2025-03-19T21:26:57Z,trades_fallback
2026-03,T-1,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-03-19,2025-03-19T21:26:57Z,trades_fallback
2026-03,final_available,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2025-03-19,2025-03-19T21:26:57Z,trades_fallback
2026-04,T-30,no_change,,,,,,,
2026-04,T-14,no_change,,,,,,,
2026-04,T-7,no_change,,,,,,,
2026-04,T-3,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2026-04-26,2026-04-26T23:56:26Z,trades_fallback
2026-04,T-1,no_change,0.998,1,4.0000000000000074e-06,0.0020000000000000018,2026-04-28,2026-04-28T23:47:02Z,trades_fallback
2026-04,final_available,no_change,0.999,1,1.0000000000000019e-06,0.0010000000000000009,2026-04-29,2026-04-29T21:16:18Z,trades_fallback
