research_case,snapshot_label,target_date,selected_timestamp,selected_datetime_utc,selected_date,event_slug,event_title,market_slug,market_question,condition_id,token_id,outcome_name,source_endpoint_type,probability,source_endpoint,raw_file_path,data_status,final_outcome_0_1,resolution_status,notes
anthropic_valuation,first_available,,1779898565,2026-05-27T16:16:05Z,2026-05-27,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=first_available
anthropic_valuation,T-30,2026-06-01,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
anthropic_valuation,T-14,2026-06-17,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
anthropic_valuation,T-7,2026-06-24,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
anthropic_valuation,T-3,2026-06-28,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
anthropic_valuation,T-1,2026-06-30,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
anthropic_valuation,final_available,,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-high-1pt5t-by-june-30,Will Anthropic’s valuation hit (HIGH) $1.5T by June 30?,0xd17ac9fb3279922ab6888f7d6f3395ee0094322f777c569ed5f2b9f50730bff2,100317409462201587115435545024885063259966341800944223973701334959322448351156,No,prices_history,0.925,https://clob.polymarket.com/prices-history?market=100317409462201587115435545024885063259966341800944223973701334959322448351156&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_100317409462201587115435545024885063259966341800944223973701334959322448351156_1d.txt,real_api_data,1,open,snapshot_selection=final_available
anthropic_valuation,first_available,,1779898565,2026-05-27T16:16:05Z,2026-05-27,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-low-750b-by-june-30,Will Anthropic’s valuation hit (LOW) $750B by June 30?,0x7677b744e64c91b1fbb08f87590749120f4cb2681aa1eb60e8171aa463269132,106964633064663709074008615736117588997729155907705078449227522406523301984868,No,prices_history,0.996,https://clob.polymarket.com/prices-history?market=106964633064663709074008615736117588997729155907705078449227522406523301984868&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_106964633064663709074008615736117588997729155907705078449227522406523301984868_1d.txt,real_api_data,1,open,snapshot_selection=first_available
anthropic_valuation,T-30,2026-06-01,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-low-750b-by-june-30,Will Anthropic’s valuation hit (LOW) $750B by June 30?,0x7677b744e64c91b1fbb08f87590749120f4cb2681aa1eb60e8171aa463269132,106964633064663709074008615736117588997729155907705078449227522406523301984868,No,prices_history,0.995,https://clob.polymarket.com/prices-history?market=106964633064663709074008615736117588997729155907705078449227522406523301984868&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_106964633064663709074008615736117588997729155907705078449227522406523301984868_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
anthropic_valuation,T-14,2026-06-17,1779984904,2026-05-28T16:15:04Z,2026-05-28,will-anthropics-valuation-hit-by-june-30,Will Anthropic’s valuation hit __ by June 30?,will-anthropics-valuation-hit-low-750b-by-june-30,Will Anthropic’s valuation hit (LOW) $750B by June 30?,0x7677b744e64c91b1fbb08f87590749120f4cb2681aa1eb60e8171aa463269132,106964633064663709074008615736117588997729155907705078449227522406523301984868,No,prices_history,0.995,https://clob.polymarket.com/prices-history?market=106964633064663709074008615736117588997729155907705078449227522406523301984868&interval=1d,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/pipeline_outputs/raw/polymarket/20260528T161624Z_prices_history_106964633064663709074008615736117588997729155907705078449227522406523301984868_1d.txt,real_api_data,1,open,snapshot_selection=before_or_on_target
