meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,snapshot_label,target_date,selected_timestamp,selected_datetime_utc,selected_date,probability,realized_outcome_0_1,brier_score,absolute_error,source_endpoint_type,source_endpoint,raw_file_path,data_status,notes
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,T-3,2025-12-07,1765151507,2025-12-07T23:51:47Z,2025-12-07,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xfcd2fb666c5a346faee448e63267346a3ec394a52bce4c199877559da91cd2c1&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150642Z_trades_111653286751222233434552489231342053782305860121514128195211070982702807638967_1000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,T-1,2025-12-09,1765324226,2025-12-09T23:50:26Z,2025-12-09,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xfcd2fb666c5a346faee448e63267346a3ec394a52bce4c199877559da91cd2c1&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150642Z_trades_111653286751222233434552489231342053782305860121514128195211070982702807638967_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,final_available,2025-12-10,1765404002,2025-12-10T22:00:02Z,2025-12-10,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xfcd2fb666c5a346faee448e63267346a3ec394a52bce4c199877559da91cd2c1&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150642Z_trades_111653286751222233434552489231342053782305860121514128195211070982702807638967_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,T-3,2025-12-07,1765149257,2025-12-07T23:14:17Z,2025-12-07,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0xfcd2fb666c5a346faee448e63267346a3ec394a52bce4c199877559da91cd2c1&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150643Z_trades_83234538869110488222137558986831878044545184788704562505964003874631215840521_1000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,T-1,2025-12-09,1765295170,2025-12-09T15:46:10Z,2025-12-09,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0xfcd2fb666c5a346faee448e63267346a3ec394a52bce4c199877559da91cd2c1&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150643Z_trades_83234538869110488222137558986831878044545184788704562505964003874631215840521_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,final_available,2025-12-10,1765405010,2025-12-10T22:16:50Z,2025-12-10,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0xfcd2fb666c5a346faee448e63267346a3ec394a52bce4c199877559da91cd2c1&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150643Z_trades_83234538869110488222137558986831878044545184788704562505964003874631215840521_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,Yes,no_change,T-1,2025-12-09,1765324796,2025-12-09T23:59:56Z,2025-12-09,0.026,0,0.000676,0.026,trades_fallback,https://data-api.polymarket.com/trades?market=0x58f4542341fcc66a2197877b7487ebe901b689ec42bcdbb0a070f5536d91459e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150640Z_trades_80746058984644290629624903019922696017323803605256698757445938534814122585786_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,Yes,no_change,final_available,2025-12-10,1765403996,2025-12-10T21:59:56Z,2025-12-10,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x58f4542341fcc66a2197877b7487ebe901b689ec42bcdbb0a070f5536d91459e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150639Z_trades_80746058984644290629624903019922696017323803605256698757445938534814122585786_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,No,other,T-1,2025-12-09,1765324786,2025-12-09T23:59:46Z,2025-12-09,0.9739990435310263,0,0.9486741367993541,0.9739990435310263,trades_fallback,https://data-api.polymarket.com/trades?market=0x58f4542341fcc66a2197877b7487ebe901b689ec42bcdbb0a070f5536d91459e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150641Z_trades_85970682092909806158465981896969493051954703765750954325716965011253694472992_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,No,other,final_available,2025-12-10,1765405050,2025-12-10T22:17:30Z,2025-12-10,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x58f4542341fcc66a2197877b7487ebe901b689ec42bcdbb0a070f5536d91459e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150640Z_trades_85970682092909806158465981896969493051954703765750954325716965011253694472992_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 25 bps after December 2025 meeting?,No,other,final_available,2025-12-10,1765404734,2025-12-10T22:12:14Z,2025-12-10,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xcb111226a8271fed0c71bb5ec1bd67b2a4fd72f1eb08466e2180b9efa99d3f32&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150638Z_trades_13411284055273560855537595688801764123705139415061660246624128667183605973730_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 50+ bps after December 2025 meeting?,No,other,final_available,2025-12-10,1765405032,2025-12-10T22:17:12Z,2025-12-10,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x6903b766f5fda3d5b02f4472a6b4154419e78b7fd126c0b29ce17bb8e20b20cc&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150635Z_trades_21489772516410038586556744342392982044189999368638682594741395650226594484811_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 50+ bps after December 2025 meeting?,Yes,50_plus_bps_cut,final_available,2025-12-10,1765404542,2025-12-10T22:09:02Z,2025-12-10,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x6903b766f5fda3d5b02f4472a6b4154419e78b7fd126c0b29ce17bb8e20b20cc&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150634Z_trades_74018646712472971445258547247048869505144598783748525202442089895996249694683_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 25 bps after December 2025 meeting?,Yes,25_bps_cut,final_available,2025-12-10,1765405022,2025-12-10T22:17:02Z,2025-12-10,0.999,1,1.0000000000000019e-06,0.0010000000000000009,trades_fallback,https://data-api.polymarket.com/trades?market=0xcb111226a8271fed0c71bb5ec1bd67b2a4fd72f1eb08466e2180b9efa99d3f32&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T150636Z_trades_87769991026114894163580777793845523168226980076553814689875238288185044414090_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,T-3,2026-01-25,1769384216,2026-01-25T23:36:56Z,2026-01-25,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,T-1,2026-01-27,1769558397,2026-01-27T23:59:57Z,2026-01-27,0.002,0,4e-06,0.002,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140736Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_1000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,final_available,2026-01-28,1769640300,2026-01-28T22:45:00Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140736Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,T-3,2026-01-25,1769369908,2026-01-25T19:38:28Z,2026-01-25,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140738Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,T-1,2026-01-27,1769558113,2026-01-27T23:55:13Z,2026-01-27,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_1000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,final_available,2026-01-28,1769633342,2026-01-28T20:49:02Z,2026-01-28,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_42139849929574046088630785796780813725435914859433767469767950066058132350666_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
