meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,snapshot_label,target_date,selected_timestamp,selected_datetime_utc,selected_date,probability,realized_outcome_0_1,brier_score,absolute_error,source_endpoint_type,source_endpoint,raw_file_path,data_status,notes
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,No change in Fed interest rates after January 2026 meeting?,Yes,no_change,final_available,2026-01-28,1769640654,2026-01-28T22:50:54Z,2026-01-28,0.999,1,1.0000000000000019e-06,0.0010000000000000009,trades_fallback,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140732Z_trades_112838095111461683880944516726938163688341306245473734071798778736646352193304_0.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,T-3,2026-01-25,1769385040,2026-01-25T23:50:40Z,2026-01-25,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_3000.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,T-1,2026-01-27,1769558363,2026-01-27T23:59:23Z,2026-01-27,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140726Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_0.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,final_available,2026-01-28,1769638714,2026-01-28T22:18:34Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140726Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_0.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,T-3,2026-01-25,1769384216,2026-01-25T23:36:56Z,2026-01-25,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140737Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_3000.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,T-1,2026-01-27,1769558397,2026-01-27T23:59:57Z,2026-01-27,0.002,0,4e-06,0.002,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=1000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140736Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_1000.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,final_available,2026-01-28,1769640300,2026-01-28T22:45:00Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140736Z_trades_16419649354067298412736919830777830730026677464626899811394461690794060330642_0.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,T-1,2026-01-27,1769558307,2026-01-27T23:58:27Z,2026-01-27,0.004,0,1.6e-05,0.004,trades_fallback,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_3000.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,final_available,2026-01-28,1769638778,2026-01-28T22:19:38Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140729Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_0.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-14,2026-06-03,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0025,,,,prices_history,https://clob.polymarket.com/prices-history?market=11019686559003253359318459636510036787281809199165975947920974072245914352862,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_11019686559003253359318459636510036787281809199165975947920974072245914352862.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-7,2026-06-10,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0025,,,,prices_history,https://clob.polymarket.com/prices-history?market=11019686559003253359318459636510036787281809199165975947920974072245914352862,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_11019686559003253359318459636510036787281809199165975947920974072245914352862.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-3,2026-06-14,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0025,,,,prices_history,https://clob.polymarket.com/prices-history?market=11019686559003253359318459636510036787281809199165975947920974072245914352862,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_11019686559003253359318459636510036787281809199165975947920974072245914352862.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-1,2026-06-16,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0025,,,,prices_history,https://clob.polymarket.com/prices-history?market=11019686559003253359318459636510036787281809199165975947920974072245914352862,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_11019686559003253359318459636510036787281809199165975947920974072245914352862.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,Yes,25_plus_bps_hike,final_available,2026-06-17,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0025,,,,prices_history,https://clob.polymarket.com/prices-history?market=11019686559003253359318459636510036787281809199165975947920974072245914352862,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_11019686559003253359318459636510036787281809199165975947920974072245914352862.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,T-14,2026-06-03,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=110884561568299698460551977852169332756450294345019257864587852438060900499251,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_110884561568299698460551977852169332756450294345019257864587852438060900499251.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,T-7,2026-06-10,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=110884561568299698460551977852169332756450294345019257864587852438060900499251,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_110884561568299698460551977852169332756450294345019257864587852438060900499251.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,T-3,2026-06-14,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=110884561568299698460551977852169332756450294345019257864587852438060900499251,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_110884561568299698460551977852169332756450294345019257864587852438060900499251.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,T-1,2026-06-16,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=110884561568299698460551977852169332756450294345019257864587852438060900499251,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_110884561568299698460551977852169332756450294345019257864587852438060900499251.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,Yes,50_plus_bps_cut,final_available,2026-06-17,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=110884561568299698460551977852169332756450294345019257864587852438060900499251,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_110884561568299698460551977852169332756450294345019257864587852438060900499251.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,T-14,2026-06-03,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.9755,,,,prices_history,https://clob.polymarket.com/prices-history?market=30767812841387255642892182147223249245545002662653079696958384408588201824258,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_30767812841387255642892182147223249245545002662653079696958384408588201824258.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,T-7,2026-06-10,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.9755,,,,prices_history,https://clob.polymarket.com/prices-history?market=30767812841387255642892182147223249245545002662653079696958384408588201824258,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_30767812841387255642892182147223249245545002662653079696958384408588201824258.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,T-3,2026-06-14,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.9755,,,,prices_history,https://clob.polymarket.com/prices-history?market=30767812841387255642892182147223249245545002662653079696958384408588201824258,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_30767812841387255642892182147223249245545002662653079696958384408588201824258.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,T-1,2026-06-16,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.9755,,,,prices_history,https://clob.polymarket.com/prices-history?market=30767812841387255642892182147223249245545002662653079696958384408588201824258,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_30767812841387255642892182147223249245545002662653079696958384408588201824258.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will there be no change in Fed interest rates after the June 2026 meeting?,Yes,no_change,final_available,2026-06-17,1779984245,2026-05-28T16:04:05Z,2026-05-28,0.9755,,,,prices_history,https://clob.polymarket.com/prices-history?market=30767812841387255642892182147223249245545002662653079696958384408588201824258,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_30767812841387255642892182147223249245545002662653079696958384408588201824258.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-14,2026-06-03,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=54688507565884542490190759171719899637342914252863057837926715255559077706253,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_54688507565884542490190759171719899637342914252863057837926715255559077706253.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-7,2026-06-10,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=54688507565884542490190759171719899637342914252863057837926715255559077706253,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_54688507565884542490190759171719899637342914252863057837926715255559077706253.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-3,2026-06-14,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=54688507565884542490190759171719899637342914252863057837926715255559077706253,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_54688507565884542490190759171719899637342914252863057837926715255559077706253.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,T-1,2026-06-16,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=54688507565884542490190759171719899637342914252863057837926715255559077706253,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_54688507565884542490190759171719899637342914252863057837926715255559077706253.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,Yes,25_plus_bps_hike,final_available,2026-06-17,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0055,,,,prices_history,https://clob.polymarket.com/prices-history?market=54688507565884542490190759171719899637342914252863057837926715255559077706253,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_54688507565884542490190759171719899637342914252863057837926715255559077706253.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,T-14,2026-06-03,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0115,,,,prices_history,https://clob.polymarket.com/prices-history?market=65193234666628291664907888364936366210889305490897648116746073820519263548476,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_65193234666628291664907888364936366210889305490897648116746073820519263548476.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,T-7,2026-06-10,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0115,,,,prices_history,https://clob.polymarket.com/prices-history?market=65193234666628291664907888364936366210889305490897648116746073820519263548476,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_65193234666628291664907888364936366210889305490897648116746073820519263548476.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,T-3,2026-06-14,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0115,,,,prices_history,https://clob.polymarket.com/prices-history?market=65193234666628291664907888364936366210889305490897648116746073820519263548476,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_65193234666628291664907888364936366210889305490897648116746073820519263548476.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,T-1,2026-06-16,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0115,,,,prices_history,https://clob.polymarket.com/prices-history?market=65193234666628291664907888364936366210889305490897648116746073820519263548476,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_65193234666628291664907888364936366210889305490897648116746073820519263548476.txt,local_cached_raw,snapshot_selection=before_or_on_target
2026-06,2026-06-17,fed-decision-in-june-825,Fed Decision in June?,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,Yes,25_bps_cut,final_available,2026-06-17,1779984246,2026-05-28T16:04:06Z,2026-05-28,0.0115,,,,prices_history,https://clob.polymarket.com/prices-history?market=65193234666628291664907888364936366210889305490897648116746073820519263548476,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260528T160443Z_prices_history_65193234666628291664907888364936366210889305490897648116746073820519263548476.txt,local_cached_raw,snapshot_selection=before_or_on_target
